x,y,t,u,v,p
2.626262626262626299e+00,-1.183673469387755084e+00,3.000000000000000444e-01,8.567238023006553682e-01,-3.722409453601877721e-03,3.925951924281463612e-02
3.262626262626262541e+00,-4.081632653061229021e-02,1.500000000000000000e+00,3.589540180049048401e-01,2.979148869870540395e-01,-1.895037695392370047e-01
7.646464646464646187e+00,5.306122448979588846e-01,2.800000000000000266e+00,7.886962993638358954e-01,3.670369873169714303e-01,-4.745867468209586520e-02
1.565656565656565746e+00,-1.836734693877551061e+00,1.900000000000000133e+00,1.161021367606781540e+00,6.393512151450551906e-02,-1.159239222748387060e-01
7.151515151515151381e+00,2.040816326530610070e-01,7.000000000000000000e+00,8.099812233649650306e-01,4.821209715268650609e-01,-9.440835764719607281e-02
1.070707070707070718e+00,1.673469387755101678e+00,4.900000000000000355e+00,1.202919571860725512e+00,2.090639755711890674e-03,-1.397105866573202237e-01
4.535353535353534582e+00,2.040816326530610070e-01,3.700000000000000178e+00,6.308650816710591469e-01,5.382387793608781612e-01,-1.348382720598576001e-01
3.969696969696969724e+00,-1.510204081632652962e+00,5.600000000000000533e+00,1.238204396036274080e+00,8.547922659312952309e-02,-4.777265948188057915e-02
6.797979797979797567e+00,1.224489795918364266e-01,6.500000000000000000e+00,7.808544426764074675e-01,4.825493046109565198e-01,-1.002711772060332768e-01
1.636363636363636243e+00,1.102040816326530503e+00,4.700000000000000178e+00,1.282864885161742352e+00,-1.743626308782174339e-01,-2.551073008337272907e-01
4.111111111111110716e+00,1.102040816326530503e+00,2.000000000000000000e+00,1.156618616845286329e+00,-3.102959652537828905e-01,-8.583009956400194929e-02
5.030303030303030276e+00,-6.122448979591836871e-01,6.100000000000000533e+00,1.045899031979270921e+00,4.304032033743602215e-01,-1.561806530566488549e-01
4.181818181818181657e+00,3.673469387755101678e-01,7.000000000000000666e-01,7.377010704328650359e-01,-4.505937692113473614e-01,-6.854327600011005106e-02
1.070707070707070718e+00,1.020408163265305923e+00,5.100000000000000533e+00,1.292556827655870544e+00,3.927237861647926015e-02,-2.398428025657146079e-01
3.474747474747474474e+00,1.510204081632652962e+00,5.000000000000000000e+00,8.745971564282883914e-01,-8.518014274918572770e-02,1.673901895252003988e-02
1.424242424242424310e+00,-1.755102040816326481e+00,1.200000000000000178e+00,1.148346506425617752e+00,6.896179759608990489e-02,-1.318766428271790359e-01
3.828282828282828287e+00,-1.510204081632652962e+00,6.500000000000000000e+00,1.097804640500752882e+00,-1.655136846661971195e-01,2.249199999388176024e-02
1.282828282828282873e+00,2.000000000000000000e+00,2.100000000000000089e+00,1.104635594519385533e+00,1.943730871077782238e-02,-8.253427692180073660e-02
6.939393939393939448e+00,-1.346938775510204245e+00,0.000000000000000000e+00,7.413190708679966434e-01,4.749335917603155627e-02,1.859084451066972746e-02
2.767676767676767291e+00,2.857142857142855874e-01,2.700000000000000178e+00,2.614957458262087697e-01,3.206080819414784400e-01,-1.322428674151140682e-01
5.595959595959596022e+00,-5.306122448979593287e-01,2.200000000000000178e+00,8.006834565718520258e-01,-5.157464479098377019e-01,-1.014366120297880702e-01
3.898989898989898784e+00,7.755102040816326259e-01,4.100000000000000533e+00,5.388966998776877348e-01,2.838451666644284388e-01,6.916618062935980457e-03
4.959595959595959336e+00,8.571428571428567622e-01,4.500000000000000000e+00,8.027427945655351005e-01,4.629333834440670925e-01,-6.324059777543376837e-02
3.616161616161615910e+00,6.938775510204080454e-01,3.800000000000000266e+00,4.710690808130117424e-01,2.628279032607340193e-01,1.961841478995635449e-03
1.494949494949494806e+00,7.755102040816326259e-01,5.000000000000000000e-01,6.994343577377359900e-01,7.590417506406617332e-02,-1.307089368530136853e-01
2.202020202020201989e+00,-1.673469387755102122e+00,2.200000000000000178e+00,1.123928939062692534e+00,1.443986488857645911e-01,-1.001994915409098463e-01
4.676767676767676463e+00,-1.918367346938775420e+00,4.200000000000000178e+00,9.450112198249200901e-01,1.179820550751728980e-01,8.662534455001497796e-03
4.676767676767676463e+00,-1.510204081632652962e+00,3.100000000000000089e+00,8.118334924562029542e-01,5.989860007423701040e-03,3.419160521091774846e-02
2.767676767676767291e+00,-2.857142857142858094e-01,8.000000000000000444e-01,1.884863411372940667e-01,4.030147695871820201e-01,-1.199324438239670748e-01
4.747474747474747403e+00,-2.857142857142858094e-01,1.600000000000000089e+00,7.314249938350219082e-01,-5.122630481256859047e-01,-7.805612722724389330e-02
7.222222222222222321e+00,-8.571428571428572063e-01,6.400000000000000355e+00,6.846499362546855094e-01,1.719401795116790033e-01,-1.811346388645695971e-02
1.777777777777777679e+00,1.428571428571428381e+00,2.900000000000000355e+00,1.043514399041330032e+00,-8.115143205748118205e-02,-8.360353616985649605e-02
5.454545454545454142e+00,1.591836734693877098e+00,8.000000000000000444e-01,8.077987080138571141e-01,4.687550465885906292e-02,3.398540133826135484e-02
5.737373737373737015e+00,2.040816326530610070e-01,4.500000000000000000e+00,7.464156631813319009e-01,5.420875610883182233e-02,-1.970747673387286958e-01
7.787878787878787179e+00,9.387755102040813426e-01,1.900000000000000133e+00,9.496668439744914147e-01,4.136142062312375134e-01,-5.755155792306967943e-02
4.747474747474747403e+00,6.122448979591834650e-01,5.500000000000000000e+00,6.076252030235380630e-01,2.642165706167453609e-01,-3.428884337391877035e-02
3.757575757575757347e+00,1.020408163265305923e+00,1.500000000000000000e+00,1.151119421165343049e+00,-3.382800302235348111e-01,-1.055769234485441355e-01
3.616161616161615910e+00,-1.673469387755102122e+00,7.000000000000000666e-01,1.041670073611522085e+00,-1.240664167798196660e-01,3.406838651110970922e-02
7.505050505050505194e+00,-1.836734693877551061e+00,6.500000000000000000e+00,8.497237004048954212e-01,2.048096075159837326e-02,2.613573007642804383e-02
4.959595959595959336e+00,-8.571428571428572063e-01,3.400000000000000355e+00,5.789327776660051494e-01,8.807425482259537142e-02,-6.566173769285967195e-03
4.888888888888889284e+00,1.102040816326530503e+00,7.000000000000000666e-01,7.136294439577091087e-01,-1.256955470908011074e-01,1.219127294760533747e-02
8.000000000000000000e+00,7.755102040816326259e-01,4.100000000000000533e+00,6.853122340321308181e-01,-4.766910058033903969e-02,-2.772151172891400631e-02
3.050505050505050608e+00,-1.591836734693877542e+00,2.400000000000000355e+00,9.845939756757098316e-01,1.718662097241388242e-01,-3.304129325399266653e-02
2.626262626262626299e+00,1.346938775510203801e+00,4.000000000000000000e+00,9.123190286397093729e-01,-1.226777179612837665e-01,-1.440986934129670147e-02
7.434343434343434254e+00,5.306122448979588846e-01,1.500000000000000000e+00,8.716022274801258352e-01,4.728570583032034591e-01,-8.400531146938639004e-02
7.858585858585858119e+00,-1.510204081632652962e+00,5.400000000000000355e+00,9.214080925467804661e-01,-2.600218734076744087e-01,5.294673296718488929e-03
3.898989898989898784e+00,4.489795918367343042e-01,5.400000000000000355e+00,4.822972216001938373e-01,-3.354210031324266206e-01,-6.018414985935700845e-02
8.000000000000000000e+00,-6.938775510204082675e-01,4.900000000000000355e+00,9.297005075628446136e-01,-4.519086279906958104e-01,-9.398146435551621436e-02
7.717171717171717127e+00,-1.673469387755102122e+00,6.000000000000000000e+00,8.198281855456691636e-01,-1.092985045195331295e-01,2.386112219142032254e-02
5.383838383838384090e+00,-1.102040816326530726e+00,7.000000000000000000e+00,1.223308595389023701e+00,1.971057100501787396e-01,-1.270578080511026720e-01
3.828282828282828287e+00,1.265306122448979220e+00,2.000000000000000111e-01,8.861434224646398405e-01,-2.212912651539023778e-01,-1.169667162115231411e-02
4.535353535353534582e+00,1.836734693877550839e+00,9.000000000000000222e-01,9.245219802929198760e-01,-1.121628536643851093e-01,1.047615191838080669e-02
3.545454545454545414e+00,1.346938775510203801e+00,3.300000000000000266e+00,1.025274211516946865e+00,1.961072200913370200e-01,3.121798241600774390e-02
7.151515151515151381e+00,-1.918367346938775420e+00,9.000000000000000222e-01,9.083204724527009777e-01,9.926925775316249034e-02,2.001342224811955908e-02
3.757575757575757347e+00,8.571428571428567622e-01,5.000000000000000000e-01,9.016754144194643050e-01,-3.684315588729480950e-01,-5.412746248166960816e-02
6.303030303030302761e+00,1.918367346938775420e+00,2.000000000000000000e+00,8.697167295929921771e-01,1.315271238998536735e-02,3.271927538420135728e-02
2.484848484848484862e+00,-2.000000000000000000e+00,3.600000000000000089e+00,1.150063709356807351e+00,7.496423823116747653e-02,-6.999235638381626212e-02
1.494949494949494806e+00,6.938775510204080454e-01,5.900000000000000355e+00,6.529379020519124888e-01,1.129900923690814879e-01,-2.071316814684419083e-01
3.828282828282828287e+00,-2.040816326530614511e-01,7.000000000000000000e+00,6.162448948094657597e-01,-4.825246437675606015e-01,-1.008455806487464357e-01
4.111111111111110716e+00,-1.836734693877551061e+00,2.900000000000000355e+00,9.083216715220393533e-01,6.384869200726057958e-02,1.926522016130150297e-02
1.919191919191919116e+00,1.673469387755101678e+00,1.800000000000000044e+00,1.113441110303991621e+00,3.197333745539562844e-02,-5.151060151546432708e-02
1.424242424242424310e+00,-6.122448979591836871e-01,2.800000000000000266e+00,5.039182900633654150e-01,-1.445645873002973092e-01,-2.223461411654955311e-01
5.666666666666666075e+00,-1.346938775510204245e+00,4.000000000000000222e-01,1.033307365809494005e+00,2.592241141388074710e-01,-2.378132478754943144e-02
4.959595959595959336e+00,1.020408163265305923e+00,6.000000000000000000e+00,6.101719462228293311e-01,5.407378623218428437e-02,1.481097765293519324e-02
2.909090909090909172e+00,-6.938775510204082675e-01,1.400000000000000133e+00,6.582101934861996906e-01,3.020660484493662978e-01,-2.582882672751949521e-02
5.737373737373737015e+00,-4.081632653061229021e-02,6.100000000000000533e+00,8.292916866640637208e-01,4.812735086001880269e-01,-7.784362607217611141e-02
6.161616161616161769e+00,-1.102040816326530726e+00,1.000000000000000056e-01,8.608424335508741976e-01,2.518785935106572227e-01,-5.856373480912147565e-03
6.090909090909090828e+00,-1.265306122448979664e+00,1.300000000000000044e+00,1.119856160884013407e+00,2.935497025044001562e-01,-5.202862763713694827e-02
7.010101010101009500e+00,-1.102040816326530726e+00,6.600000000000000533e+00,7.973483509303949113e-01,2.115308034123788983e-01,-1.686839656600444678e-03
2.979797979797979668e+00,1.183673469387754640e+00,6.600000000000000533e+00,1.204953121172205988e+00,-2.569164030052970005e-01,-1.302099894509496369e-01
6.020202020202019888e+00,1.755102040816326259e+00,4.100000000000000533e+00,1.092310643549407878e+00,-1.781253301960450952e-01,-1.239178501738045883e-02
1.848484848484848397e+00,-4.489795918367347483e-01,3.100000000000000089e+00,3.858473476518405887e-01,-2.636558575122414649e-01,-2.577412290118533678e-01
3.616161616161615910e+00,6.122448979591834650e-01,5.200000000000000178e+00,5.903264313199085844e-01,-3.030849093939174677e-01,-2.804685446521348532e-02
4.535353535353534582e+00,-3.673469387755103899e-01,3.800000000000000266e+00,6.817641784667046734e-01,4.169398795484532960e-01,-6.544371266492374217e-02
1.636363636363636243e+00,-7.755102040816328479e-01,6.000000000000000000e+00,9.704918257271785142e-01,3.353396143261462847e-01,-2.379408646025667484e-01
6.939393939393939448e+00,-6.122448979591836871e-01,0.000000000000000000e+00,6.487009900160916054e-01,4.141533491861795757e-02,-4.762172239734628609e-02
4.181818181818181657e+00,-9.387755102040817867e-01,3.000000000000000000e+00,7.131263097846471943e-01,1.998494349021459060e-01,7.816609985148879544e-04
3.616161616161615910e+00,2.000000000000000000e+00,1.300000000000000044e+00,1.086026498250627803e+00,-1.305654843981313151e-01,-3.173082688501878412e-02
2.272727272727272485e+00,1.918367346938775420e+00,5.100000000000000533e+00,1.093350430619089542e+00,-1.134996782163076728e-01,-7.344355151936382553e-02
4.252525252525252597e+00,-1.224489795918368706e-01,5.000000000000000000e+00,7.826158763190969037e-01,4.396980143429353172e-01,-1.687732989966179153e-01
3.121212121212121104e+00,-4.081632653061229021e-02,6.400000000000000355e+00,5.041579127052485676e-01,-3.592735795747989958e-01,-2.062895507871491119e-01
7.151515151515151381e+00,-1.918367346938775420e+00,4.200000000000000178e+00,1.032000942837250079e+00,-1.801803589630824320e-01,1.132230934988711149e-02
4.606060606060605522e+00,-1.224489795918368706e-01,5.300000000000000711e+00,8.182762203857171235e-01,4.907424178001542625e-01,-1.390069220951253848e-01
3.828282828282828287e+00,-5.306122448979593287e-01,6.800000000000000711e+00,5.585038435969226223e-01,-4.185829558372498038e-01,-3.851281412906869261e-02
2.414141414141414366e+00,1.673469387755101678e+00,5.300000000000000711e+00,1.101824761149367227e+00,-1.578665605692257667e-01,-8.603688240145197785e-02
1.070707070707070718e+00,1.836734693877550839e+00,4.100000000000000533e+00,1.160396551029631240e+00,-2.112875872771118047e-02,-1.325797439191543081e-01
7.646464646464646187e+00,1.755102040816326259e+00,1.500000000000000000e+00,1.065699360966426479e+00,2.003571894971280243e-01,-8.061212185225907420e-03
4.111111111111110716e+00,1.224489795918364266e-01,5.000000000000000000e+00,5.922321140878789025e-01,2.333644677322983529e-01,-1.525127751411749222e-01
5.808080808080807955e+00,6.938775510204080454e-01,5.900000000000000355e+00,8.136067100543290520e-01,4.441398745371327728e-01,-4.708397581694392237e-02
6.161616161616161769e+00,1.918367346938775420e+00,3.200000000000000178e+00,9.553431908050503685e-01,-1.337659557858451032e-01,1.357737532926700172e-02
3.404040404040403978e+00,2.000000000000000000e+00,4.100000000000000533e+00,9.871017765446257197e-01,3.417774288317608489e-02,2.214923136994945141e-02
3.404040404040403978e+00,5.306122448979588846e-01,2.500000000000000000e+00,4.929504003351845576e-01,5.104450605440707944e-01,-1.034964830774977307e-01
6.020202020202019888e+00,1.224489795918364266e-01,5.800000000000000711e+00,7.804618054017118389e-01,4.879937059103281460e-01,-8.617366786271253576e-02
1.353535353535353591e+00,1.428571428571428381e+00,4.800000000000000711e+00,1.238877345530073448e+00,-5.834286039430696541e-02,-1.824534183675805832e-01
1.070707070707070718e+00,-1.510204081632652962e+00,3.900000000000000355e+00,1.165463640154259517e+00,-5.961486955105581992e-02,-1.184756037232746750e-01
6.232323232323231821e+00,-5.306122448979593287e-01,4.400000000000000355e+00,7.047412804373749395e-01,-2.968878542594188819e-01,-5.514223021425029847e-02
4.676767676767676463e+00,4.081632653061229021e-02,1.000000000000000000e+00,6.526180974651795141e-01,-5.014102968459713816e-01,-1.030472051088806157e-01
2.272727272727272485e+00,2.040816326530610070e-01,6.800000000000000711e+00,3.898510273978186835e-02,5.514430219052347537e-01,-2.079224618581061446e-01
3.404040404040403978e+00,7.755102040816326259e-01,2.400000000000000355e+00,7.702291059544246199e-01,2.992637406420493029e-01,-1.051371556442242811e-01
2.696969696969696795e+00,1.755102040816326259e+00,4.700000000000000178e+00,9.991359389338749786e-01,-1.216525399325165263e-01,-3.532770021390915782e-02
3.262626262626262541e+00,2.040816326530610070e-01,1.500000000000000000e+00,5.328381910251708264e-01,1.519028930450881387e-01,-2.499282333345256568e-01
1.424242424242424310e+00,-4.489795918367347483e-01,1.700000000000000178e+00,5.311992884622027677e-01,-8.751744184743097399e-02,-4.442895903598408913e-01
2.272727272727272485e+00,-1.918367346938775420e+00,4.900000000000000355e+00,1.118726500326904016e+00,-2.327352343136468091e-02,-3.645577804180850229e-02
5.878787878787878896e+00,-1.673469387755102122e+00,2.600000000000000089e+00,1.088887904950831542e+00,-1.852930297077608479e-01,1.517464167860039939e-03
1.353535353535353591e+00,1.183673469387754640e+00,4.800000000000000711e+00,1.296262387482609357e+00,-6.847853648559644457e-02,-2.370779116541675002e-01
3.121212121212121104e+00,-2.040816326530614511e-01,1.600000000000000089e+00,3.418342582696654031e-01,5.037402492840634682e-01,-1.195027649063261921e-01
7.505050505050505194e+00,1.183673469387754640e+00,3.200000000000000178e+00,7.278202860849960487e-01,5.753860862245852720e-02,6.963811636094656421e-03
4.818181818181818343e+00,-1.265306122448979664e+00,5.700000000000000178e+00,1.119305506296394359e+00,2.746485387825399749e-01,-5.071025041232933572e-02
3.121212121212121104e+00,6.938775510204080454e-01,2.200000000000000178e+00,5.787171761679119619e-01,3.783603985614260035e-01,-7.590285871051657973e-02
3.050505050505050608e+00,-1.183673469387755084e+00,1.400000000000000133e+00,8.150943111179047573e-01,1.135433529403761382e-01,1.546776334799736773e-02
7.222222222222222321e+00,-9.387755102040817867e-01,6.400000000000000355e+00,6.959272768481127303e-01,1.621445950839518202e-01,-1.064466767743382954e-02
6.797979797979797567e+00,-1.591836734693877542e+00,3.400000000000000355e+00,1.089281841157069275e+00,-2.008052694042298247e-01,-2.295328733039804503e-02
4.111111111111110716e+00,-4.081632653061229021e-02,2.500000000000000000e+00,5.300725856800891922e-01,1.426706970061347723e-01,-1.777937918098508041e-01
1.848484848484848397e+00,1.020408163265305923e+00,6.600000000000000533e+00,1.153077087327649686e+00,6.164065320777975532e-02,-1.339529452706740564e-01
3.545454545454545414e+00,-1.428571428571428603e+00,4.500000000000000000e+00,1.177439087235402360e+00,1.943204054433222694e-01,-7.108453767983909100e-02
4.040404040404039776e+00,-3.673469387755103899e-01,5.300000000000000711e+00,8.136747135899516925e-01,1.067366142843721027e-01,-2.404044352045968946e-01
3.898989898989898784e+00,6.122448979591834650e-01,4.700000000000000178e+00,4.525415748602798494e-01,4.545984474250337054e-02,-2.428663847081826907e-02
7.646464646464646187e+00,-2.000000000000000000e+00,8.000000000000000444e-01,8.776171685840529202e-01,1.933733774165617009e-02,2.643821778928201818e-02
4.181818181818181657e+00,1.918367346938775420e+00,3.500000000000000000e+00,1.157866077082143841e+00,3.125288650201132890e-02,1.685804316713344951e-03
6.232323232323231821e+00,5.306122448979588846e-01,5.600000000000000533e+00,8.492435634693237256e-01,4.500801140444992687e-01,-1.427556036110586291e-01
2.767676767676767291e+00,-4.081632653061229021e-02,6.800000000000000711e+00,2.103512057139839408e-01,3.939907863098006668e-01,-2.100644819341439817e-01
1.919191919191919116e+00,2.040816326530610070e-01,4.000000000000000222e-01,-4.840757975959716908e-02,4.779592960567276561e-01,-2.458412925649125502e-01
5.313131313131313149e+00,1.020408163265305923e+00,1.000000000000000000e+00,6.487885058845362929e-01,-1.031686597188760934e-01,5.803339936338505235e-03
5.242424242424242209e+00,-1.224489795918368706e-01,5.500000000000000000e+00,8.285917558438695707e-01,4.916185650454488187e-01,-7.863917218743399218e-02
1.070707070707070718e+00,-2.040816326530614511e-01,6.400000000000000355e+00,4.111984679775861073e-02,-1.104618708139568500e-01,-4.751068871967447094e-01
2.343434343434343425e+00,1.673469387755101678e+00,1.900000000000000133e+00,1.131622470067778163e+00,3.870454177643816579e-02,-3.331633969670846906e-02
2.838383838383838231e+00,5.306122448979588846e-01,6.000000000000000888e-01,9.579313961738933347e-01,-2.667676855581433970e-01,-3.082678529777858056e-01
1.565656565656565746e+00,4.081632653061229021e-02,5.400000000000000355e+00,-1.458668466263972896e-01,4.376824141591380002e-01,-3.357924822681294108e-01
7.222222222222222321e+00,-1.183673469387755084e+00,5.800000000000000711e+00,7.214054351863457004e-01,-6.250876426204020342e-02,8.793226382787133061e-03
6.797979797979797567e+00,1.510204081632652962e+00,5.700000000000000178e+00,1.240558755470308361e+00,-1.154103298522837356e-01,-5.750274479095547620e-02
4.888888888888889284e+00,-1.265306122448979664e+00,3.000000000000000000e+00,6.929918552618543615e-01,-4.381302571200311469e-02,3.339956532765410435e-02
3.545454545454545414e+00,-1.755102040816326481e+00,6.400000000000000355e+00,1.073167675741962812e+00,-1.008664547585872567e-01,2.517769963779558501e-02
6.585858585858585634e+00,-1.836734693877551061e+00,4.500000000000000000e+00,8.728764403791090531e-01,-1.292860542500982868e-01,3.087252995987673637e-02
7.505050505050505194e+00,1.265306122448979220e+00,1.100000000000000089e+00,1.084606442369996149e+00,2.714119991703949353e-01,-6.996745715784731534e-02
5.525252525252525082e+00,-1.673469387755102122e+00,6.000000000000000888e-01,1.096565769740924789e+00,1.885089164762903668e-01,-1.808424367610801664e-02
2.484848484848484862e+00,1.346938775510203801e+00,4.700000000000000178e+00,1.019855134119040052e+00,-2.191022547223116235e-01,-7.962046901122236953e-02
5.030303030303030276e+00,-1.591836734693877542e+00,3.700000000000000178e+00,8.285543644637846095e-01,3.606832880765348248e-02,2.856364212422320137e-02
1.848484848484848397e+00,4.081632653061229021e-02,3.400000000000000355e+00,-6.405801811698501325e-02,-5.349738431137152084e-01,-3.171814764897307737e-01
1.989898989898989834e+00,1.428571428571428381e+00,3.100000000000000089e+00,1.009244821512005341e+00,-8.440446539301159345e-02,-5.778930128645921177e-02
6.232323232323231821e+00,1.918367346938775420e+00,1.000000000000000000e+00,9.249337916512023750e-01,1.407903581285686323e-01,3.133463976052605626e-02
4.606060606060605522e+00,-1.918367346938775420e+00,6.900000000000000355e+00,1.167713694282975334e+00,-3.861684133324692902e-02,3.291643791385827009e-03
2.626262626262626299e+00,2.040816326530610070e-01,6.100000000000000533e+00,5.567770373101176284e-01,-1.554552386827156851e-01,-3.479862424112034613e-01
3.262626262626262541e+00,4.489795918367343042e-01,1.800000000000000044e+00,6.428176817204367399e-01,2.429724745309284062e-01,-2.200780869118682259e-01
1.212121212121212155e+00,-8.571428571428572063e-01,6.000000000000000000e+00,1.194939843822009795e+00,2.044632820555377928e-01,-3.581646691349823497e-01
7.363636363636363313e+00,-3.673469387755103899e-01,7.000000000000000666e-01,6.681654596301601634e-01,2.295557663294174877e-01,-8.003508832534438067e-02
2.414141414141414366e+00,6.938775510204080454e-01,4.600000000000000533e+00,9.375423073610338331e-01,-4.757834984410866386e-01,-1.751262739935288137e-01
6.373737373737373701e+00,1.020408163265305923e+00,5.900000000000000355e+00,9.743878286458408366e-01,3.900145619842314559e-01,-7.954170560221435204e-02
2.272727272727272485e+00,1.510204081632652962e+00,2.000000000000000000e+00,1.106525140676414720e+00,5.713978675637371163e-02,-2.236959312261596958e-02
7.717171717171717127e+00,1.673469387755101678e+00,5.900000000000000355e+00,1.083857295671325716e+00,-2.128038185532190596e-01,-1.258585591583287477e-02
3.404040404040403978e+00,4.081632653061229021e-02,5.300000000000000711e+00,4.836279332533751640e-01,-5.609611196482048312e-01,-1.225964153519986388e-01
4.252525252525252597e+00,-6.938775510204082675e-01,2.500000000000000000e+00,4.975715178761984103e-01,1.129184019879554690e-01,-1.778550343145613929e-02
